gene	transcript	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
PLEKHG1	ENST00000367328	733	7.8146e+02	9.3799e-01	4.5100e-05	9160	171	1.9576e+02	8.7353e-01	2330	343	3.1773e+02	1.0795e+00	1.9893e-05	2672	15	2.9020e-06	675	5.6057e+01	1.2728e-02	3.7996e-09	9.8727e-01	2.6759e-01	9.8700e-01	1.1800e+00	8.8200e-01	9.9700e-01	1.7800e-01	4.1200e-01		-1.1142e+00	6.1600e-01	5.0815e+00	3720	1	1	30	1.9132e-04	3.5822e-05	125700	48	0	125748	1.9088e-04	4.5815e-03	3.6979e-04	8.6759e-05	0.0000e+00	1.6310e-04	6.0067e-04	1.5846e-04	4.8945e-04	6.5340e-05	3.6916e-04	8.6729e-05	0.0000e+00	1.6311e-04	6.0070e-04	1.5823e-04	4.8872e-04	6.5327e-05	protein_coding	ENSG00000120278	3	4155	15	protein_coding	243801	1.7868e-04	13	3.5520e+01	3.6600e-01	NA	6	150920999	151164799
IBTK	ENST00000306270	506	6.7205e+02	7.5292e-01	3.1854e-05	8884	81	1.6246e+02	4.9858e-01	2094	200	2.3598e+02	8.4753e-01	1.1367e-05	2530	18	3.2526e-06	883	6.4580e+01	2.2144e-03	3.9789e-10	9.9779e-01	2.7872e-01	7.5400e-01	9.5300e-01	6.9900e-01	8.1000e-01	1.9200e-01	4.1300e-01		1.8412e+00	2.2762e+00	5.3712e+00	3726	1	1	32	1.8313e-04	3.2432e-05	125704	44	0	125748	1.7497e-04	3.8496e-03	1.8489e-04	2.4333e-04	0.0000e+00	2.1867e-04	5.1448e-04	1.4268e-04	1.6633e-04	6.5482e-05	1.8456e-04	2.3129e-04	0.0000e+00	2.1749e-04	5.0826e-04	1.3185e-04	1.6288e-04	6.5327e-05	protein_coding	ENSG00000005700	2	4059	28	protein_coding	77772	9.0115e-01	9	4.6865e+01	1.9204e-01	NA	6	82879700	82957471
LEMD2	ENST00000293760	157	2.3539e+02	6.6698e-01	1.3418e-05	3121	55	8.8621e+01	6.2062e-01	979	88	9.8250e+01	8.9567e-01	5.3115e-06	1077	4	1.2123e-06	258	2.2168e+01	7.5293e-01	1.5958e-05	2.4705e-01	1.8044e-01	7.5300e-01	1.0690e+00	5.8500e-01	7.6100e-01	8.8000e-02	4.1300e-01		8.1288e-01	1.8156e+00	3.5757e+00	3727	1	1	5	4.8274e-05	3.2216e-05	125735	12	0	125747	4.7716e-05	2.8630e-04	6.1736e-05	0.0000e+00	0.0000e+00	5.4366e-05	0.0000e+00	8.8993e-05	0.0000e+00	0.0000e+00	6.1518e-05	0.0000e+00	0.0000e+00	5.4367e-05	0.0000e+00	8.7900e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000161904	2	1509	9	protein_coding	17935	3.0237e-01	4	1.6677e+01	2.3985e-01	NA	6	33738979	33756913
CD2AP	ENST00000359314	323	3.2311e+02	9.9966e-01	1.5477e-05	4158	63	8.2350e+01	7.6502e-01	1105	122	1.1376e+02	1.0724e+00	5.5119e-06	1212	9	2.0165e-06	483	3.8002e+01	2.2989e-01	4.7418e-07	7.7011e-01	2.3683e-01	9.2500e-01	1.2460e+00	9.1200e-01	1.0960e+00	1.4200e-01	4.1300e-01		-6.0705e-01	2.1480e-03	4.3596e+00	3737	1	1	24	1.5943e-04	2.7859e-05	125708	40	0	125748	1.5906e-04	3.1815e-03	1.8494e-04	2.6086e-04	0.0000e+00	1.0919e-04	0.0000e+00	1.6746e-04	1.6372e-04	1.9611e-04	1.8456e-04	2.6021e-04	0.0000e+00	1.0874e-04	0.0000e+00	1.6702e-04	1.6288e-04	1.9600e-04	protein_coding	ENSG00000198087	2	1917	18	protein_coding	149475	8.1322e-01	5	2.7252e+01	1.8347e-01	NA	6	47445525	47594999
GRM1	ENST00000361719	475	6.6192e+02	7.1761e-01	3.9401e-05	7798	95	2.4951e+02	3.8074e-01	2954	333	2.7346e+02	1.2177e+00	1.7545e-05	2449	10	2.3164e-06	479	4.0852e+01	1.4279e-01	2.4680e-07	8.5721e-01	2.4479e-01	1.1130e+00	1.3330e+00	6.6500e-01	7.7400e-01	1.5000e-01	4.1500e-01		-2.8305e+00	2.5817e+00	4.4730e+00	3755	1	1	22	1.1682e-04	1.6819e-05	125719	29	0	125748	1.1532e-04	1.6722e-03	6.1523e-05	2.0277e-04	0.0000e+00	1.0890e-04	2.1334e-04	1.1488e-04	1.6340e-04	3.2947e-05	6.1518e-05	2.0238e-04	0.0000e+00	1.0874e-04	1.8479e-04	1.1427e-04	1.6288e-04	3.2663e-05	protein_coding	ENSG00000152822	3	3582	8	protein_coding	409953	9.8996e-01	3	2.6777e+01	1.1204e-01	NA	6	146348782	146758734
PDE7B	ENST00000308191	200	2.6246e+02	7.6203e-01	1.4277e-05	3017	67	1.0989e+02	6.0968e-01	1356	91	9.6345e+01	9.4452e-01	5.7584e-06	791	6	1.6486e-06	295	2.8498e+01	5.4578e-01	4.5708e-06	4.5422e-01	2.1054e-01	7.9600e-01	1.1240e+00	6.7800e-01	8.5700e-01	1.1400e-01	4.1600e-01		4.2805e-01	1.3700e+00	3.9053e+00	3772	1	1	18	9.1721e-05	7.9829e-06	125725	23	0	125748	9.1457e-05	1.0518e-03	2.4615e-04	0.0000e+00	9.9860e-05	5.4366e-05	0.0000e+00	1.2341e-04	0.0000e+00	9.8016e-05	2.4609e-04	0.0000e+00	9.9211e-05	5.4367e-05	0.0000e+00	1.2306e-04	0.0000e+00	9.7993e-05	protein_coding	ENSG00000171408	2	1350	13	protein_coding	343879	9.4645e-01	3	2.2180e+01	1.3526e-01	NA	6	136172834	136516712
FKBP5	ENST00000536438	179	2.5113e+02	7.1278e-01	1.2913e-05	3020	35	7.3116e+01	4.7869e-01	838	82	9.0536e+01	9.0571e-01	5.1057e-06	808	4	9.1417e-07	314	2.1901e+01	7.3393e-01	1.9828e-05	2.6605e-01	1.8264e-01	7.5700e-01	1.0880e+00	6.3000e-01	8.0700e-01	8.9000e-02	4.1800e-01		7.0523e-01	1.6174e+00	3.5446e+00	3793	1	1	10	4.7944e-05	7.9851e-06	125733	12	0	125745	4.7717e-05	2.8631e-04	0.0000e+00	5.8384e-05	0.0000e+00	5.4383e-05	0.0000e+00	6.1756e-05	0.0000e+00	6.5353e-05	0.0000e+00	5.7819e-05	0.0000e+00	5.4367e-05	0.0000e+00	6.1532e-05	0.0000e+00	6.5327e-05	protein_coding	ENSG00000096060	3	1371	10	protein_coding	154999	4.9885e-01	3	1.4493e+01	2.0700e-01	NA	6	35541362	35696360
MYO6	ENST00000369977	586	6.8861e+02	8.5099e-01	3.7815e-05	8555	85	9.4302e+01	9.0136e-01	1092	219	2.3046e+02	9.5027e-01	1.1787e-05	2251	25	4.7951e-06	971	8.3374e+01	2.4287e-05	3.6205e-12	9.9998e-01	2.9985e-01	8.5000e-01	1.0630e+00	7.9400e-01	9.1100e-01	2.1800e-01	4.1900e-01		5.9339e-01	1.3895e+00	5.9241e+00	3808	1	1	37	2.7105e-04	6.3768e-05	125680	68	0	125748	2.7042e-04	9.1955e-03	3.0803e-04	4.0555e-04	9.9246e-05	1.0874e-04	9.2447e-05	2.8242e-04	3.2653e-04	3.2696e-04	3.0763e-04	4.0480e-04	9.9211e-05	1.0874e-04	9.2392e-05	2.8131e-04	3.2579e-04	3.2668e-04	protein_coding	ENSG00000196586	2	3855	34	protein_coding	170346	1.7788e-02	16	6.1096e+01	2.6188e-01	NA	6	76458909	76629254
C6orf106	ENST00000374023	60	1.6987e+02	3.5321e-01	8.7571e-06	1967	11	5.2939e+01	2.0779e-01	638	70	6.6950e+01	1.0456e+00	3.9824e-06	566	2	7.2923e-07	158	1.5036e+01	8.5127e-01	9.4784e-05	1.4864e-01	1.3302e-01	8.6100e-01	1.2760e+00	2.8600e-01	4.3800e-01	5.3000e-02	4.1900e-01		-2.9300e-01	2.9956e+00	3.1153e+00	3819	1	1	3	1.9936e-05	1.1940e-05	125742	5	0	125747	1.9881e-05	4.9704e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.4066e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.3950e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000196821	2	894	5	protein_coding	109572	4.5403e-01	2	9.6278e+00	2.0773e-01	NA	6	34555065	34664636
PIM1	ENST00000373509	109	1.8379e+02	5.9308e-01	9.1068e-06	2029	27	7.1275e+01	3.7881e-01	813	101	8.0766e+01	1.2505e+00	4.2409e-06	621	2	7.2888e-07	155	1.4977e+01	8.4846e-01	9.9661e-05	1.5144e-01	1.3354e-01	1.0640e+00	1.4750e+00	5.0700e-01	6.9500e-01	5.4000e-02	4.2000e-01		-1.7699e+00	1.9603e+00	3.1073e+00	3840	2	1	4	1.6031e-05	4.0757e-06	125744	4	0	125748	1.5905e-05	3.1810e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.4377e-05	0.0000e+00	2.6756e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.4367e-05	0.0000e+00	2.6369e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000137193	2	939	6	protein_coding	5224	8.8658e-01	1	1.1186e+01	8.9401e-02	NA	6	37137979	37143202
SHPRH	ENST00000367505	694	8.8925e+02	7.8043e-01	4.6098e-05	11082	138	2.8505e+02	4.8413e-01	3443	320	3.0839e+02	1.0377e+00	1.5627e-05	3138	29	5.5860e-06	1076	9.3903e+01	1.7017e-06	2.7593e-13	1.0000e+00	3.0883e-01	9.4600e-01	1.1380e+00	7.3200e-01	8.3100e-01	2.2900e-01	4.2100e-01		-5.1989e-01	2.3267e+00	6.2065e+00	3852	2	1	45	2.5746e-04	3.2765e-05	124734	61	1	124796	2.4844e-04	7.7025e-03	3.9014e-04	4.1425e-04	1.0083e-04	1.1206e-04	0.0000e+00	2.6818e-04	0.0000e+00	3.4299e-04	3.8737e-04	3.7658e-04	9.9290e-05	1.1125e-04	0.0000e+00	2.6484e-04	0.0000e+00	3.2683e-04	protein_coding	ENSG00000146414	2	5049	29	protein_coding	100179	4.9131e-01	15	6.7319e+01	2.2282e-01	NA	6	146185381	146285559
TAGAP	ENST00000367066	347	4.2883e+02	8.0918e-01	2.5143e-05	4809	73	1.0193e+02	7.1621e-01	1222	200	1.9166e+02	1.0435e+00	1.3322e-05	1481	2	6.2843e-07	193	1.4931e+01	8.4621e-01	1.0370e-04	1.5369e-01	1.3395e-01	9.2900e-01	1.1730e+00	7.4000e-01	8.8400e-01	5.4000e-02	4.2200e-01		-4.7350e-01	1.4042e+00	3.1010e+00	3866	2	1	7	3.1853e-05	7.9666e-06	125740	8	0	125748	3.1810e-05	1.2724e-04	0.0000e+00	5.7926e-05	0.0000e+00	5.4366e-05	0.0000e+00	2.6397e-05	0.0000e+00	6.5385e-05	0.0000e+00	5.7819e-05	0.0000e+00	5.4367e-05	0.0000e+00	2.6369e-05	0.0000e+00	6.5327e-05	protein_coding	ENSG00000164691	2	2193	9	protein_coding	10685	9.2710e-01	3	2.1300e+01	1.4085e-01	NA	6	159455500	159466184
SYNE1	ENST00000367255	4465	4.4107e+03	1.0123e+00	2.5177e-04	58271	1067	1.1621e+03	9.1819e-01	16036	1798	1.7116e+03	1.0505e+00	1.0137e-04	16092	182	2.6407e-05	5737	4.8701e+02	3.1899e-52	8.4934e-54	1.0000e+00	3.7371e-01	1.0100e+00	1.0920e+00	9.8700e-01	1.0380e+00	3.3000e-01	4.2300e-01		-1.6408e+00	-2.9069e-01	1.2807e+01	3878	2	1	277	1.7640e-03	1.2763e-04	125312	436	0	125748	1.7351e-03	3.7859e-01	1.8004e-03	2.0260e-03	6.2030e-04	1.4686e-03	1.2038e-03	1.9496e-03	1.7990e-03	1.7054e-03	1.7856e-03	1.9967e-03	5.9542e-04	1.4689e-03	1.2018e-03	1.9004e-03	1.7931e-03	1.6999e-03	protein_coding	ENSG00000131018	2	26391	144	protein_coding	516118	3.7507e-27	111	3.2801e+02	3.3840e-01	NA	6	152442819	152958936
ZDHHC14	ENST00000359775	192	3.0118e+02	6.3750e-01	1.8049e-05	3171	26	8.4009e+01	3.0949e-01	940	137	1.3796e+02	9.9306e-01	9.9288e-06	985	4	1.2140e-06	226	2.1649e+01	7.1510e-01	2.4312e-05	2.8488e-01	1.8477e-01	8.6300e-01	1.1440e+00	5.6600e-01	7.1900e-01	9.0000e-02	4.2300e-01		6.4098e-02	2.2356e+00	3.5150e+00	3880	2	1	6	2.4127e-05	4.2212e-06	125742	6	0	125748	2.3858e-05	7.1573e-05	6.9823e-05	2.9058e-05	0.0000e+00	0.0000e+00	0.0000e+00	2.6380e-05	0.0000e+00	3.2800e-05	6.1518e-05	2.8909e-05	0.0000e+00	0.0000e+00	0.0000e+00	2.6369e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000175048	2	1464	9	protein_coding	297014	9.8237e-01	1	1.6431e+01	6.0860e-02	NA	6	157802165	158099178
RPS12	ENST00000230050	59	7.2663e+01	8.1197e-01	3.3499e-06	862	1	6.1572e+00	1.6241e-01	105	40	2.4679e+01	1.6208e+00	1.0819e-06	245	0	2.9540e-07	94	7.0418e+00	8.8531e-01	1.1359e-03	1.1356e-01	0.0000e+00	1.2470e+00	1.9350e+00	6.5800e-01	1.0090e+00	0.0000e+00	4.2500e-01		-2.4243e+00	5.6956e-01	2.4590e+00	3898	2	1	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000112306	2	396	5	protein_coding	3124	8.2744e-01	0	5.5215e+00	0.0000e+00	NA	6	133135580	133138703
AKAP12	ENST00000402676	882	9.3137e+02	9.4699e-01	5.1572e-05	11583	205	2.3774e+02	8.6228e-01	2922	395	3.9184e+02	1.0081e+00	2.7113e-05	3557	12	2.0680e-06	671	4.5647e+01	3.5666e-02	9.8648e-08	9.6433e-01	2.6289e-01	9.2800e-01	1.0960e+00	8.9500e-01	1.0010e+00	1.6700e-01	4.2600e-01		-1.2542e-01	5.7490e-01	4.6148e+00	3917	2	1	30	1.5152e-04	1.1939e-05	125713	35	0	125748	1.3918e-04	2.4358e-03	1.2377e-04	8.6951e-05	1.0192e-04	4.3499e-04	2.3106e-04	1.2347e-04	3.2605e-04	9.9208e-05	1.2304e-04	8.6729e-05	9.9211e-05	2.7186e-04	2.3099e-04	1.2306e-04	3.2579e-04	9.7993e-05	protein_coding	ENSG00000131016	3	5346	3	protein_coding	118559	3.7250e-01	6	2.6334e+01	2.2784e-01	NA	6	151561134	151679692
UTRN	ENST00000367545	1723	1.7669e+03	9.7515e-01	9.5125e-05	22728	609	7.3616e+02	8.2726e-01	9512	642	6.4540e+02	9.9473e-01	3.5585e-05	6203	73	1.1324e-05	2381	2.0646e+02	1.0021e-19	8.0321e-25	1.0000e+00	3.5358e-01	9.3200e-01	1.0620e+00	9.3600e-01	1.0150e+00	2.9200e-01	4.3000e-01		1.0531e-01	3.7125e-01	8.6071e+00	3962	2	1	120	1.1327e-03	3.7148e-04	125471	275	2	125748	1.1020e-03	1.5271e-01	5.6839e-04	1.5981e-03	2.9873e-04	1.0449e-03	8.8074e-04	1.3671e-03	1.8023e-03	4.0167e-04	5.5380e-04	1.5333e-03	2.9766e-04	1.0335e-03	8.7806e-04	1.3281e-03	1.7931e-03	3.9203e-04	protein_coding	ENSG00000152818	2	10299	74	protein_coding	567334	2.9680e-09	45	1.4719e+02	3.0572e-01	NA	6	144606837	145174170
NFKBIE	ENST00000275015	213	2.8233e+02	7.5442e-01	1.4784e-05	3066	46	8.7502e+01	5.2570e-01	946	144	1.2993e+02	1.1083e+00	6.6558e-06	1170	3	7.8956e-07	190	1.8025e+01	7.7098e-01	6.3336e-05	2.2896e-01	1.6643e-01	9.6700e-01	1.2730e+00	6.7400e-01	8.4500e-01	7.5000e-02	4.3000e-01		-9.7040e-01	1.4663e+00	3.2794e+00	3965	2	1	1	3.9802e-06	3.9802e-06	125620	1	0	125621	3.9802e-06	1.9901e-06	0.0000e+00	0.0000e+00	9.9325e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.9330e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000146232	2	1500	6	protein_coding	7598	5.4843e-01	2	1.0628e+01	1.8818e-01	NA	6	44225903	44233500
GTPBP2	ENST00000307126	182	3.6682e+02	4.9616e-01	2.3031e-05	3869	49	1.5280e+02	3.2068e-01	1598	151	1.4950e+02	1.0100e+00	8.7680e-06	1290	7	1.9977e-06	304	3.0359e+01	3.1663e-01	5.4664e-06	6.8337e-01	2.3057e-01	8.8400e-01	1.1560e+00	4.3900e-01	5.6100e-01	1.3000e-01	4.3300e-01		-9.6377e-02	3.4292e+00	3.9286e+00	3998	2	1	10	6.3692e-05	1.1929e-05	125732	16	0	125748	6.3621e-05	5.0899e-04	6.1516e-05	0.0000e+00	1.0010e-04	0.0000e+00	9.2486e-05	6.1549e-05	0.0000e+00	1.6331e-04	6.1518e-05	0.0000e+00	9.9211e-05	0.0000e+00	9.2392e-05	6.1530e-05	0.0000e+00	1.6333e-04	protein_coding	ENSG00000172432	2	1806	12	protein_coding	23847	8.8478e-01	4	2.4360e+01	1.6420e-01	NA	6	43573053	43596899
TIAM2	ENST00000461783	851	9.5950e+02	8.8692e-01	5.6551e-05	11175	168	2.3597e+02	7.1196e-01	2765	432	4.0329e+02	1.0712e+00	2.6291e-05	3351	23	4.1908e-06	864	7.5329e+01	3.2439e-05	5.8359e-11	9.9997e-01	3.0533e-01	9.8900e-01	1.1600e+00	8.3800e-01	9.3900e-01	2.1900e-01	4.3300e-01		-1.1236e+00	1.2448e+00	5.5870e+00	4001	2	1	62	1.3415e-02	1.2992e-02	122463	3210	75	125748	1.3148e-02	2.1739e+01	5.0001e-02	6.6535e-03	6.4639e-03	5.5633e-04	2.3102e-04	5.8987e-03	7.9953e-03	5.0018e-02	4.9516e-02	6.6712e-03	6.4693e-03	5.4380e-04	2.3099e-04	5.8446e-03	7.8484e-03	4.9535e-02	protein_coding	ENSG00000146426	2	5103	24	protein_coding	425027	1.2483e-01	13	5.3386e+01	2.4351e-01	NA	6	155153831	155578857
PREP	ENST00000369110	277	4.0579e+02	6.8261e-01	2.1964e-05	4695	47	1.2397e+02	3.7913e-01	1450	166	1.5970e+02	1.0395e+00	9.9592e-06	1294	10	2.0039e-06	461	3.9123e+01	8.0250e-02	6.7011e-07	9.1975e-01	2.5560e-01	9.1500e-01	1.1820e+00	6.1800e-01	7.5400e-01	1.5700e-01	4.3400e-01		-3.9209e-01	2.2720e+00	4.3146e+00	4019	2	1	16	1.5681e-04	5.3354e-05	125709	39	0	125748	1.5508e-04	3.0244e-03	1.8606e-04	2.9061e-04	1.0252e-04	2.2194e-04	4.6202e-05	1.6024e-04	0.0000e+00	6.5336e-05	1.8456e-04	2.8913e-04	9.9211e-05	2.1749e-04	4.6195e-05	1.5823e-04	0.0000e+00	6.5327e-05	protein_coding	ENSG00000085377	2	2130	15	protein_coding	125520	9.9104e-01	3	2.7084e+01	1.1077e-01	NA	6	105725440	105850959
NEDD9	ENST00000379446	426	4.7909e+02	8.8919e-01	2.7565e-05	5467	131	1.6666e+02	7.8602e-01	1961	179	2.0110e+02	8.9009e-01	1.3177e-05	1651	9	2.0638e-06	371	3.6064e+01	1.2634e-01	1.5229e-06	8.7366e-01	2.4955e-01	7.8700e-01	1.0080e+00	8.2100e-01	9.6300e-01	1.4900e-01	4.3500e-01		1.2252e+00	8.6192e-01	4.1762e+00	4023	2	1	13	6.7840e-05	1.5908e-05	125731	17	0	125748	6.7598e-05	5.7460e-04	0.0000e+00	5.7822e-05	2.9762e-04	1.0878e-04	4.6194e-05	7.0848e-05	0.0000e+00	3.2663e-05	0.0000e+00	5.7819e-05	2.9766e-04	1.0874e-04	4.6195e-05	7.0320e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000111859	2	2502	7	protein_coding	199051	5.3498e-01	5	2.3694e+01	2.1103e-01	NA	6	11183531	11382581
RNF146	ENST00000368314	148	2.0102e+02	7.3624e-01	1.0618e-05	2311	32	7.4975e+01	4.2681e-01	856	71	7.5233e+01	9.4373e-01	4.2139e-06	750	2	9.6149e-07	155	1.4425e+01	8.1992e-01	1.5930e-04	1.7992e-01	1.3865e-01	7.7800e-01	1.1500e+00	6.4300e-01	8.4400e-01	5.6000e-02	4.3600e-01		3.8365e-01	1.3289e+00	3.0315e+00	4035	2	1	6	3.6235e-05	1.1965e-05	125505	9	0	125514	3.5853e-05	1.6134e-04	6.2664e-05	0.0000e+00	0.0000e+00	0.0000e+00	4.6194e-05	3.5556e-05	0.0000e+00	9.7990e-05	6.1556e-05	0.0000e+00	0.0000e+00	0.0000e+00	4.6195e-05	3.5285e-05	0.0000e+00	9.7993e-05	protein_coding	ENSG00000118518	2	1077	2	protein_coding	21958	4.4521e-01	2	9.5341e+00	2.0977e-01	NA	6	127587755	127609712
RRAGD	ENST00000369415	119	2.0824e+02	5.7145e-01	1.0267e-05	2671	18	6.1372e+01	2.9330e-01	758	65	7.7675e+01	8.3682e-01	4.2687e-06	730	2	6.5133e-07	202	1.4425e+01	8.1991e-01	1.5932e-04	1.7993e-01	1.3865e-01	6.8400e-01	1.0290e+00	4.9200e-01	6.6500e-01	5.6000e-02	4.3600e-01		1.1305e+00	2.1976e+00	3.0315e+00	4038	2	1	1	3.9769e-06	3.9769e-06	125725	1	0	125726	3.9769e-06	1.9885e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.7923e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.7923e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000025039	2	1200	7	protein_coding	47635	8.1290e-01	1	9.6233e+00	1.0391e-01	NA	6	90074355	90121989
QKI	ENST00000361752	77	1.9587e+02	3.9311e-01	1.0208e-05	2210	20	6.9230e+01	2.8889e-01	815	83	7.2980e+01	1.1373e+00	4.1924e-06	673	3	9.9014e-07	209	1.7734e+01	7.5121e-01	8.0424e-05	2.4871e-01	1.6916e-01	9.5200e-01	1.3650e+00	3.2600e-01	4.7500e-01	7.6000e-02	4.3700e-01		-9.2198e-01	3.0183e+00	3.2422e+00	4059	2	1	4	8.3955e-04	4.6745e-04	125617	115	0	125732	4.5743e-04	2.6308e-02	4.5815e-04	1.0809e-03	2.2000e-03	1.2463e-04	5.7523e-04	9.0110e-04	1.7682e-03	5.7111e-04	3.0763e-04	5.4941e-04	1.1912e-03	1.0877e-04	3.2341e-04	4.8366e-04	9.7768e-04	2.9401e-04	protein_coding	ENSG00000112531	2	1023	8	protein_coding	164597	9.6316e-01	1	1.4409e+01	6.9400e-02	NA	6	163835032	163999628
GLP1R	ENST00000373256	193	2.7066e+02	7.1307e-01	1.5865e-05	2991	71	1.0525e+02	6.7461e-01	1179	129	1.1455e+02	1.1261e+00	7.1896e-06	898	7	1.5430e-06	303	3.0067e+01	2.9347e-01	6.6116e-06	7.0652e-01	2.3281e-01	9.7500e-01	1.3030e+00	6.3300e-01	8.0300e-01	1.3100e-01	4.3700e-01		-1.0609e+00	1.6774e+00	3.8982e+00	4063	2	1	13	5.9846e-05	1.1947e-05	125732	15	0	125747	5.9645e-05	4.4735e-04	6.1516e-05	0.0000e+00	0.0000e+00	0.0000e+00	4.6365e-05	9.6959e-05	0.0000e+00	6.6304e-05	6.1518e-05	0.0000e+00	0.0000e+00	0.0000e+00	4.6195e-05	9.6691e-05	0.0000e+00	6.5327e-05	protein_coding	ENSG00000112164	2	1389	13	protein_coding	38946	6.4078e-02	6	2.0560e+01	2.9182e-01	NA	6	39016574	39055519
MMS22L	ENST00000275053	585	6.0531e+02	9.6644e-01	2.7895e-05	8099	242	2.7271e+02	8.8738e-01	3748	229	2.2591e+02	1.0137e+00	1.0698e-05	2320	21	3.4250e-06	870	6.9022e+01	8.3003e-05	3.6984e-10	9.9992e-01	3.0425e-01	9.0900e-01	1.1310e+00	9.0200e-01	1.0350e+00	2.1500e-01	4.3800e-01		-1.6141e-01	2.9338e-01	5.3563e+00	4065	2	1	45	2.9831e-04	8.4206e-05	125675	73	0	125748	2.9031e-04	1.0598e-02	3.2181e-04	2.0621e-04	1.4946e-03	5.0261e-04	1.4171e-04	2.1719e-04	8.2339e-04	1.6367e-04	3.0763e-04	2.0238e-04	1.4892e-03	4.8941e-04	1.3859e-04	2.1097e-04	8.1466e-04	1.6333e-04	protein_coding	ENSG00000146263	2	3729	24	protein_coding	141057	6.7114e-01	10	4.7273e+01	2.1154e-01	NA	6	97590037	97731093
MTCH1	ENST00000373616	100	1.9651e+02	5.0888e-01	1.0873e-05	2351	23	6.0075e+01	3.8285e-01	688	64	7.7631e+01	8.2441e-01	3.9501e-06	781	4	1.1531e-06	226	2.0856e+01	6.5106e-01	4.5576e-05	3.4889e-01	1.9179e-01	6.7300e-01	1.0150e+00	4.3200e-01	6.0100e-01	9.3000e-02	4.3900e-01		1.2162e+00	2.4465e+00	3.4203e+00	4083	2	1	2	7.9814e-06	4.0036e-06	125738	2	0	125740	7.9530e-06	7.9530e-06	0.0000e+00	2.8935e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.7941e-06	0.0000e+00	0.0000e+00	0.0000e+00	2.8916e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.7899e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000137409	2	1116	12	protein_coding	18158	9.6488e-01	1	1.4541e+01	6.8769e-02	NA	6	36935917	36954074
